Date,Day,Fajr,FajrIqamah,Sunrise,Dhuhr,DhuhrIqamah,Asr,AsrIqamah,Maghrib,MaghribIqamah,Isha,IshaIqamah,Tomorrow_Fajr
22/02/2024,Thursday,05:33:00,05:38:00,07:14:00,12:21:00,12:26:00,14:52:00,14:57:00,17:27:00,17:32:00,19:08:00,19:13:00,05:36:00
23/02/2024,Friday,05:31:00,05:36:00,07:12:00,12:20:00,12:25:00,14:54:00,14:59:00,17:29:00,17:34:00,19:10:00,19:15:00,05:33:00
24/02/2024,Saturday,05:29:00,05:34:00,07:09:00,12:20:00,12:25:00,14:55:00,15:00:00,17:31:00,17:36:00,19:12:00,19:17:00,05:31:00
25/02/2024,Sunday,05:27:00,05:32:00,07:07:00,12:20:00,12:25:00,14:57:00,15:02:00,17:33:00,17:38:00,19:14:00,19:19:00,05:29:00
26/02/2024,Monday,05:24:00,05:29:00,07:05:00,12:20:00,12:25:00,14:58:00,15:03:00,17:35:00,17:40:00,19:16:00,19:21:00,05:27:00
27/02/2024,Tuesday,05:22:00,05:27:00,07:02:00,12:20:00,12:25:00,15:00:00,15:05:00,17:37:00,17:42:00,19:18:00,19:23:00,05:24:00
28/02/2024,Wednesday,05:20:00,05:25:00,07:00:00,12:20:00,12:25:00,15:01:00,15:06:00,17:39:00,17:44:00,19:20:00,19:25:00,05:22:00
29/02/2024,Thursday,05:17:00,05:22:00,06:57:00,12:19:00,12:24:00,15:03:00,15:08:00,17:42:00,17:47:00,19:22:00,19:27:00,05:20:00
01/03/2024,Friday,05:15:00,05:20:00,06:55:00,12:19:00,12:24:00,15:04:00,15:09:00,17:44:00,17:49:00,19:24:00,19:29:00,05:17:00
02/03/2024,Saturday,05:13:00,05:18:00,06:52:00,12:19:00,12:24:00,15:05:00,15:10:00,17:46:00,17:51:00,19:26:00,19:31:00,05:15:00
03/03/2024,Sunday,05:10:00,05:15:00,06:50:00,12:19:00,12:24:00,15:07:00,15:12:00,17:48:00,17:53:00,19:28:00,19:33:00,05:13:00
04/03/2024,Monday,05:08:00,05:13:00,06:48:00,12:19:00,12:24:00,15:08:00,15:13:00,17:50:00,17:55:00,19:30:00,19:35:00,05:10:00
05/03/2024,Tuesday,05:05:00,05:10:00,06:45:00,12:18:00,12:23:00,15:10:00,15:15:00,17:52:00,17:57:00,19:32:00,19:37:00,05:08:00
06/03/2024,Wednesday,05:03:00,05:08:00,06:43:00,12:18:00,12:23:00,15:11:00,15:16:00,17:54:00,17:59:00,19:34:00,19:39:00,05:05:00
07/03/2024,Thursday,05:00:00,05:05:00,06:40:00,12:18:00,12:23:00,15:12:00,15:17:00,17:56:00,18:01:00,19:36:00,19:41:00,05:03:00
08/03/2024,Friday,04:57:00,05:02:00,06:38:00,12:18:00,12:23:00,15:14:00,15:19:00,17:58:00,18:03:00,19:38:00,19:43:00,05:00:00
09/03/2024,Saturday,04:55:00,05:00:00,06:35:00,12:17:00,12:22:00,15:15:00,15:20:00,18:00:00,18:05:00,19:40:00,19:45:00,04:57:00
10/03/2024,Sunday,04:52:00,04:57:00,06:33:00,12:17:00,12:22:00,15:17:00,15:22:00,18:02:00,18:07:00,19:42:00,19:47:00,04:55:00
11/03/2024,Monday,04:50:00,04:55:00,06:30:00,12:17:00,12:22:00,15:18:00,15:23:00,18:04:00,18:09:00,19:44:00,19:49:00,04:52:00
12/03/2024,Tuesday,04:47:00,04:52:00,06:28:00,12:17:00,12:22:00,15:19:00,15:24:00,18:06:00,18:11:00,19:46:00,19:51:00,04:50:00
13/03/2024,Wednesday,04:44:00,04:49:00,06:25:00,12:16:00,12:21:00,15:20:00,15:25:00,18:08:00,18:13:00,19:49:00,19:54:00,04:47:00
14/03/2024,Thursday,04:42:00,04:47:00,06:23:00,12:16:00,12:21:00,15:22:00,15:27:00,18:10:00,18:15:00,19:51:00,19:56:00,04:44:00
15/03/2024,Friday,04:39:00,04:44:00,06:20:00,12:16:00,12:21:00,15:23:00,15:28:00,18:12:00,18:17:00,19:53:00,19:58:00,04:42:00
16/03/2024,Saturday,04:36:00,04:41:00,06:18:00,12:16:00,12:21:00,15:24:00,15:29:00,18:14:00,18:19:00,19:55:00,20:00:00,04:39:00
17/03/2024,Sunday,04:33:00,04:38:00,06:15:00,12:15:00,12:20:00,15:26:00,15:31:00,18:16:00,18:21:00,19:57:00,20:02:00,04:36:00
18/03/2024,Monday,04:30:00,04:35:00,06:12:00,12:15:00,12:20:00,15:27:00,15:32:00,18:18:00,18:23:00,19:59:00,20:04:00,04:33:00
19/03/2024,Tuesday,04:28:00,04:33:00,06:10:00,12:15:00,12:20:00,15:28:00,15:33:00,18:20:00,18:25:00,20:02:00,20:07:00,04:30:00
20/03/2024,Wednesday,04:25:00,04:30:00,06:07:00,12:14:00,12:19:00,15:29:00,15:34:00,18:22:00,18:27:00,20:04:00,20:09:00,04:28:00
21/03/2024,Thursday,04:22:00,04:27:00,06:05:00,12:14:00,12:19:00,15:30:00,15:35:00,18:24:00,18:29:00,20:06:00,20:11:00,04:25:00
22/03/2024,Friday,04:19:00,04:24:00,06:02:00,12:14:00,12:19:00,15:32:00,15:37:00,18:25:00,18:30:00,20:08:00,20:13:00,04:22:00
23/03/2024,Saturday,04:16:00,04:21:00,06:00:00,12:13:00,12:18:00,15:33:00,15:38:00,18:27:00,18:32:00,20:11:00,20:16:00,04:19:00
24/03/2024,Sunday,04:13:00,04:18:00,05:57:00,12:13:00,12:18:00,15:34:00,15:39:00,18:29:00,18:34:00,20:13:00,20:18:00,04:16:00
25/03/2024,Monday,04:10:00,04:15:00,05:55:00,12:13:00,12:18:00,15:35:00,15:40:00,18:31:00,18:36:00,20:15:00,20:20:00,04:13:00
26/03/2024,Tuesday,04:07:00,04:12:00,05:52:00,12:13:00,12:18:00,15:36:00,15:41:00,18:33:00,18:38:00,20:18:00,20:23:00,04:10:00
27/03/2024,Wednesday,04:04:00,04:09:00,05:49:00,12:12:00,12:17:00,15:37:00,15:42:00,18:35:00,18:40:00,20:20:00,20:25:00,04:07:00
28/03/2024,Thursday,04:01:00,04:06:00,05:47:00,12:12:00,12:17:00,15:39:00,15:44:00,18:37:00,18:42:00,20:22:00,20:27:00,04:04:00
29/03/2024,Friday,03:58:00,04:03:00,05:44:00,12:12:00,12:17:00,15:40:00,15:45:00,18:39:00,18:44:00,20:25:00,20:30:00,04:01:00
30/03/2024,Saturday,03:55:00,04:00:00,05:42:00,12:11:00,12:16:00,15:41:00,15:46:00,18:41:00,18:46:00,20:27:00,20:32:00,03:58:00
31/03/2024,Sunday,04:52:00,04:57:00,06:39:00,13:11:00,13:16:00,16:42:00,16:47:00,19:43:00,19:48:00,21:30:00,21:35:00,03:55:00
01/04/2024,Monday,04:49:00,04:54:00,06:37:00,13:11:00,13:16:00,16:43:00,16:48:00,19:45:00,19:50:00,21:32:00,21:37:00,04:52:00
02/04/2024,Tuesday,04:46:00,04:51:00,06:34:00,13:10:00,13:15:00,16:44:00,16:49:00,19:47:00,19:52:00,21:35:00,21:40:00,04:49:00
03/04/2024,Wednesday,04:43:00,04:48:00,06:32:00,13:10:00,13:15:00,16:45:00,16:50:00,19:49:00,19:54:00,21:37:00,21:42:00,04:46:00
04/04/2024,Thursday,04:40:00,04:45:00,06:29:00,13:10:00,13:15:00,16:46:00,16:51:00,19:51:00,19:56:00,21:40:00,21:45:00,04:43:00
05/04/2024,Friday,04:37:00,04:42:00,06:27:00,13:10:00,13:15:00,16:47:00,16:52:00,19:53:00,19:58:00,21:42:00,21:47:00,04:40:00
06/04/2024,Saturday,04:34:00,04:39:00,06:24:00,13:09:00,13:14:00,16:48:00,16:53:00,19:55:00,20:00:00,21:45:00,21:50:00,04:37:00
07/04/2024,Sunday,04:31:00,04:36:00,06:22:00,13:09:00,13:14:00,16:49:00,16:54:00,19:57:00,20:02:00,21:48:00,21:53:00,04:34:00
08/04/2024,Monday,04:27:00,04:32:00,06:19:00,13:09:00,13:14:00,16:50:00,16:55:00,19:59:00,20:04:00,21:50:00,21:55:00,04:31:00
09/04/2024,Tuesday,04:24:00,04:29:00,06:17:00,13:08:00,13:13:00,16:51:00,16:56:00,20:01:00,20:06:00,21:53:00,21:58:00,04:27:00
10/04/2024,Wednesday,04:21:00,04:26:00,06:14:00,13:08:00,13:13:00,16:52:00,16:57:00,20:03:00,20:08:00,21:56:00,22:01:00,04:24:00
11/04/2024,Thursday,04:18:00,04:23:00,06:12:00,13:08:00,13:13:00,16:53:00,16:58:00,20:04:00,20:09:00,21:58:00,22:03:00,04:21:00
12/04/2024,Friday,04:14:00,04:19:00,06:09:00,13:08:00,13:13:00,16:54:00,16:59:00,20:06:00,20:11:00,22:01:00,22:06:00,04:18:00
13/04/2024,Saturday,04:11:00,04:16:00,06:07:00,13:07:00,13:12:00,16:55:00,17:00:00,20:08:00,20:13:00,22:04:00,22:09:00,04:14:00
14/04/2024,Sunday,04:08:00,04:13:00,06:04:00,13:07:00,13:12:00,16:56:00,17:01:00,20:10:00,20:15:00,22:07:00,22:12:00,04:11:00
15/04/2024,Monday,04:04:00,04:09:00,06:02:00,13:07:00,13:12:00,16:57:00,17:02:00,20:12:00,20:17:00,22:10:00,22:15:00,04:08:00
16/04/2024,Tuesday,04:01:00,04:06:00,06:00:00,13:07:00,13:12:00,16:58:00,17:03:00,20:14:00,20:19:00,22:13:00,22:18:00,04:04:00
17/04/2024,Wednesday,03:57:00,04:02:00,05:57:00,13:07:00,13:12:00,16:59:00,17:04:00,20:16:00,20:21:00,22:16:00,22:21:00,04:01:00
18/04/2024,Thursday,03:54:00,03:59:00,05:55:00,13:06:00,13:11:00,17:00:00,17:05:00,20:18:00,20:23:00,22:19:00,22:24:00,03:57:00
19/04/2024,Friday,03:50:00,03:55:00,05:52:00,13:06:00,13:11:00,17:01:00,17:06:00,20:20:00,20:25:00,22:22:00,22:27:00,03:54:00
20/04/2024,Saturday,03:47:00,03:52:00,05:50:00,13:06:00,13:11:00,17:02:00,17:07:00,20:22:00,20:27:00,22:25:00,22:30:00,03:50:00
21/04/2024,Sunday,03:43:00,03:48:00,05:48:00,13:06:00,13:11:00,17:02:00,17:07:00,20:24:00,20:29:00,22:28:00,22:33:00,03:47:00
22/04/2024,Monday,03:40:00,03:45:00,05:45:00,13:05:00,13:10:00,17:03:00,17:08:00,20:26:00,20:31:00,22:31:00,22:36:00,03:43:00
23/04/2024,Tuesday,03:36:00,03:41:00,05:43:00,13:05:00,13:10:00,17:04:00,17:09:00,20:28:00,20:33:00,22:34:00,22:39:00,03:40:00
24/04/2024,Wednesday,03:31:00,03:36:00,05:41:00,13:05:00,13:10:00,17:05:00,17:10:00,20:30:00,20:35:00,22:38:00,22:43:00,03:36:00
25/04/2024,Thursday,03:30:00,03:35:00,05:38:00,13:05:00,13:10:00,17:06:00,17:11:00,20:32:00,20:37:00,22:39:00,22:44:00,03:31:00
26/04/2024,Friday,03:29:00,03:34:00,05:36:00,13:05:00,13:10:00,17:07:00,17:12:00,20:34:00,20:39:00,22:40:00,22:45:00,03:30:00
27/04/2024,Saturday,03:28:00,03:33:00,05:34:00,13:05:00,13:10:00,17:08:00,17:13:00,20:36:00,20:41:00,22:41:00,22:46:00,03:29:00
28/04/2024,Sunday,03:26:00,03:31:00,05:32:00,13:04:00,13:09:00,17:08:00,17:13:00,20:38:00,20:43:00,22:42:00,22:47:00,03:28:00
29/04/2024,Monday,03:25:00,03:30:00,05:29:00,13:04:00,13:09:00,17:09:00,17:14:00,20:40:00,20:45:00,22:43:00,22:48:00,03:26:00
30/04/2024,Tuesday,03:24:00,03:29:00,05:27:00,13:04:00,13:09:00,17:10:00,17:15:00,20:41:00,20:46:00,22:44:00,22:49:00,03:25:00
01/05/2024,Wednesday,03:23:00,03:28:00,05:25:00,13:04:00,13:09:00,17:11:00,17:16:00,20:43:00,20:48:00,22:45:00,22:50:00,03:24:00
02/05/2024,Thursday,03:21:00,03:26:00,05:23:00,13:04:00,13:09:00,17:12:00,17:17:00,20:45:00,20:50:00,22:46:00,22:51:00,03:23:00
03/05/2024,Friday,03:20:00,03:25:00,05:21:00,13:04:00,13:09:00,17:12:00,17:17:00,20:47:00,20:52:00,22:47:00,22:52:00,03:21:00
04/05/2024,Saturday,03:19:00,03:24:00,05:19:00,13:04:00,13:09:00,17:13:00,17:18:00,20:49:00,20:54:00,22:48:00,22:53:00,03:20:00
05/05/2024,Sunday,03:18:00,03:23:00,05:17:00,13:04:00,13:09:00,17:14:00,17:19:00,20:51:00,20:56:00,22:49:00,22:54:00,03:19:00
06/05/2024,Monday,03:17:00,03:22:00,05:15:00,13:04:00,13:09:00,17:15:00,17:20:00,20:53:00,20:58:00,22:50:00,22:55:00,03:18:00
07/05/2024,Tuesday,03:16:00,03:21:00,05:13:00,13:04:00,13:09:00,17:16:00,17:21:00,20:55:00,21:00:00,22:51:00,22:56:00,03:17:00
08/05/2024,Wednesday,03:15:00,03:20:00,05:11:00,13:04:00,13:09:00,17:16:00,17:21:00,20:57:00,21:02:00,22:52:00,22:57:00,03:16:00
09/05/2024,Thursday,03:14:00,03:19:00,05:09:00,13:03:00,13:08:00,17:17:00,17:22:00,20:59:00,21:04:00,22:53:00,22:58:00,03:15:00
10/05/2024,Friday,03:13:00,03:18:00,05:07:00,13:03:00,13:08:00,17:18:00,17:23:00,21:00:00,21:05:00,22:54:00,22:59:00,03:14:00
11/05/2024,Saturday,03:12:00,03:17:00,05:05:00,13:03:00,13:08:00,17:19:00,17:24:00,21:02:00,21:07:00,22:55:00,23:00:00,03:13:00
12/05/2024,Sunday,03:11:00,03:16:00,05:03:00,13:03:00,13:08:00,17:19:00,17:24:00,21:04:00,21:09:00,22:56:00,23:01:00,03:12:00
13/05/2024,Monday,03:10:00,03:15:00,05:01:00,13:03:00,13:08:00,17:20:00,17:25:00,21:06:00,21:11:00,22:57:00,23:02:00,03:11:00
14/05/2024,Tuesday,03:09:00,03:14:00,04:59:00,13:03:00,13:08:00,17:21:00,17:26:00,21:08:00,21:13:00,22:58:00,23:03:00,03:10:00
15/05/2024,Wednesday,03:08:00,03:13:00,04:58:00,13:03:00,13:08:00,17:21:00,17:26:00,21:09:00,21:14:00,22:59:00,23:04:00,03:09:00
16/05/2024,Thursday,03:07:00,03:12:00,04:56:00,13:03:00,13:08:00,17:22:00,17:27:00,21:11:00,21:16:00,23:00:00,23:05:00,03:08:00
17/05/2024,Friday,03:06:00,03:11:00,04:54:00,13:03:00,13:08:00,17:23:00,17:28:00,21:13:00,21:18:00,23:01:00,23:06:00,03:07:00
18/05/2024,Saturday,03:05:00,03:10:00,04:53:00,13:04:00,13:09:00,17:23:00,17:28:00,21:15:00,21:20:00,23:02:00,23:07:00,03:06:00
19/05/2024,Sunday,03:04:00,03:09:00,04:51:00,13:04:00,13:09:00,17:24:00,17:29:00,21:16:00,21:21:00,23:03:00,23:08:00,03:05:00
20/05/2024,Monday,03:03:00,03:08:00,04:49:00,13:04:00,13:09:00,17:25:00,17:30:00,21:18:00,21:23:00,23:04:00,23:09:00,03:04:00
21/05/2024,Tuesday,03:03:00,03:08:00,04:48:00,13:04:00,13:09:00,17:25:00,17:30:00,21:20:00,21:25:00,23:05:00,23:10:00,03:03:00
22/05/2024,Wednesday,03:02:00,03:07:00,04:46:00,13:04:00,13:09:00,17:26:00,17:31:00,21:21:00,21:26:00,23:06:00,23:11:00,03:03:00
23/05/2024,Thursday,03:01:00,03:06:00,04:45:00,13:04:00,13:09:00,17:27:00,17:32:00,21:23:00,21:28:00,23:06:00,23:11:00,03:02:00
24/05/2024,Friday,03:01:00,03:06:00,04:44:00,13:04:00,13:09:00,17:27:00,17:32:00,21:24:00,21:29:00,23:07:00,23:12:00,03:01:00
25/05/2024,Saturday,03:00:00,03:05:00,04:42:00,13:04:00,13:09:00,17:28:00,17:33:00,21:26:00,21:31:00,23:08:00,23:13:00,03:01:00
26/05/2024,Sunday,02:59:00,03:04:00,04:41:00,13:04:00,13:09:00,17:28:00,17:33:00,21:27:00,21:32:00,23:09:00,23:14:00,03:00:00
27/05/2024,Monday,02:59:00,03:04:00,04:40:00,13:04:00,13:09:00,17:29:00,17:34:00,21:29:00,21:34:00,23:09:00,23:14:00,02:59:00
28/05/2024,Tuesday,02:58:00,03:03:00,04:39:00,13:04:00,13:09:00,17:30:00,17:35:00,21:30:00,21:35:00,23:10:00,23:15:00,02:59:00
29/05/2024,Wednesday,02:57:00,03:02:00,04:37:00,13:05:00,13:10:00,17:30:00,17:35:00,21:32:00,21:37:00,23:11:00,23:16:00,02:58:00
30/05/2024,Thursday,02:57:00,03:02:00,04:36:00,13:05:00,13:10:00,17:31:00,17:36:00,21:33:00,21:38:00,23:11:00,23:16:00,02:57:00
31/05/2024,Friday,02:56:00,03:01:00,04:35:00,13:05:00,13:10:00,17:31:00,17:36:00,21:34:00,21:39:00,23:12:00,23:17:00,02:57:00
01/06/2024,Saturday,02:56:00,03:01:00,04:34:00,13:05:00,13:10:00,17:32:00,17:37:00,21:35:00,21:40:00,23:13:00,23:18:00,02:56:00
02/06/2024,Sunday,02:56:00,03:01:00,04:33:00,13:05:00,13:10:00,17:32:00,17:37:00,21:37:00,21:42:00,23:14:00,23:19:00,02:56:00
03/06/2024,Monday,02:55:00,03:00:00,04:32:00,13:05:00,13:10:00,17:33:00,17:38:00,21:38:00,21:43:00,23:14:00,23:19:00,02:56:00
04/06/2024,Tuesday,02:55:00,03:00:00,04:32:00,13:05:00,13:10:00,17:33:00,17:38:00,21:39:00,21:44:00,23:15:00,23:20:00,02:55:00
05/06/2024,Wednesday,02:54:00,02:59:00,04:31:00,13:06:00,13:11:00,17:34:00,17:39:00,21:40:00,21:45:00,23:16:00,23:21:00,02:55:00
06/06/2024,Thursday,02:54:00,02:59:00,04:30:00,13:06:00,13:11:00,17:34:00,17:39:00,21:41:00,21:46:00,23:16:00,23:21:00,02:54:00
07/06/2024,Friday,02:54:00,02:59:00,04:29:00,13:06:00,13:11:00,17:35:00,17:40:00,21:42:00,21:47:00,23:17:00,23:22:00,02:54:00
08/06/2024,Saturday,02:54:00,02:59:00,04:29:00,13:06:00,13:11:00,17:35:00,17:40:00,21:43:00,21:48:00,23:17:00,23:22:00,02:54:00
09/06/2024,Sunday,02:53:00,02:58:00,04:28:00,13:06:00,13:11:00,17:36:00,17:41:00,21:44:00,21:49:00,23:18:00,23:23:00,02:54:00
10/06/2024,Monday,02:53:00,02:58:00,04:28:00,13:07:00,13:12:00,17:36:00,17:41:00,21:45:00,21:50:00,23:18:00,23:23:00,02:53:00
11/06/2024,Tuesday,02:53:00,02:58:00,04:27:00,13:07:00,13:12:00,17:36:00,17:41:00,21:46:00,21:51:00,23:19:00,23:24:00,02:53:00
12/06/2024,Wednesday,02:53:00,02:58:00,04:27:00,13:07:00,13:12:00,17:37:00,17:42:00,21:46:00,21:51:00,23:19:00,23:24:00,02:53:00
